,year,iiso3c,eiso3c,value,contig,comlang_off,colony,dist,distcap,distw,distwces,ell,ill,egdp,egdppc,epop,igdp,igdppc,ipop
0,2013,ABW,BEL,774353.0,0,1,0,7847.07,7847.07,7843.255,7843.006,0,0,420470961323.0,37599.7354981,11182817.0,,,102921.0
1,2013,ABW,BHS,4712537.0,0,0,0,1588.515,1588.515,1634.515,1628.143,0,0,7835117785.02,20736.547344,377841.0,,,102921.0
2,2013,ABW,CHE,17812626.0,0,0,0,8056.331999999999,8056.331999999999,8074.21,8073.511,1,0,477246305814.0,58996.896141499994,8089346.0,,,102921.0
3,2013,ABW,CHN,25319168.0,0,0,0,14155.35,14155.35,14590.92,14560.28,0,0,4912954256930.0,3619.43910837,1357380000.0,,,102921.0
4,2013,ABW,COL,22160086.0,0,1,0,1036.634,1036.634,929.5887,861.2452,0,0,212907929816.0,4497.19693577,47342363.0,,,102921.0
5,2013,ABW,DOM,9316793.0,0,1,0,663.0993,663.0993,699.2702,695.8729,0,0,50033390849.2,4866.39484098,10281408.0,,,102921.0
6,2013,ABW,ESP,8708237.0,0,1,0,7121.524,7121.524,7186.835,7171.044,0,0,1172482153960.0,25149.743076400002,46620045.0,,,102921.0
7,2013,ABW,FRA,13262797.0,0,0,0,7685.884,7685.884,7716.752,7711.83,0,0,2357143265760.0,35754.652407199996,65925498.0,,,102921.0
8,2013,ABW,GBR,88157843.0,0,0,0,7541.243,7541.243,7480.796,7479.964,0,0,2577048727270.0,40199.3169439,64106779.0,,,102921.0
9,2013,ABW,JAM,2428953.0,0,0,0,938.3511,938.3511,977.9513,976.2388,0,0,,,2714734.0,,,102921.0
10,2013,ABW,KOR,22692559.0,0,0,0,14183.6,14183.6,14259.77,14259.24,0,0,1199003686670.0,23875.1809908,50219669.0,,,102921.0
11,2013,ABW,MEX,14735982.0,0,1,0,3197.777,3197.777,3516.021,3433.252,0,0,1045697869840.0,8450.75924284,123740109.0,,,102921.0
12,2013,ABW,NLD,144310637.0,0,1,1,7896.896,7896.896,7908.407,7908.11,0,0,720805621191.0,42893.7807116,16804432.0,,,102921.0
13,2013,ABW,PAN,38561288.0,0,1,0,1102.975,1102.975,1182.386,1171.276,0,0,29908913759.9,7859.01341755,3805683.0,,,102921.0
14,2013,ABW,POL,154633.0,0,0,0,8990.023000000001,8990.023000000001,8884.096,8882.147,0,0,415521978597.0,10923.2344281,38040196.0,,,102921.0
15,2013,ABW,SUR,972820.0,0,1,0,1793.713,1793.713,1873.901,1787.663,0,0,2464082868.05,4619.14493964,533450.0,,,102921.0
16,2013,ABW,TTO,7612651.0,0,0,0,959.7569,959.7569,960.6143,960.3906,0,0,19145432662.8,14200.3149757,1348240.0,,,102921.0
17,2013,ABW,USA,606477425.0,0,0,0,3161.6679999999997,3007.2690000000002,3859.885,3648.866,0,0,14451509500000.0,45660.7337641,316497531.0,,,102921.0
18,2013,ABW,VEN,14067783.0,0,1,0,408.8065,408.8065,437.7823,380.6062,0,0,194650892086.0,6429.204742100001,30276045.0,,,102921.0
19,2013,ALB,BEL,22101708.0,0,0,0,1589.1070000000002,1589.1070000000002,1609.068,1606.492,0,0,420470961323.0,37599.7354981,11182817.0,11346755234.8,3916.23123721,2897366.0
20,2013,ALB,BHS,1613.0,0,0,0,8763.203000000001,8763.203000000001,8766.026,8765.77,0,0,7835117785.02,20736.547344,377841.0,11346755234.8,3916.23123721,2897366.0
21,2013,ALB,CHE,77405899.0,0,0,0,1167.984,1167.984,1169.541,1165.678,1,0,477246305814.0,58996.896141499994,8089346.0,11346755234.8,3916.23123721,2897366.0
22,2013,ALB,CHN,318062527.0,0,0,0,7686.079000000001,7686.079000000001,8026.048,8004.226,0,0,4912954256930.0,3619.43910837,1357380000.0,11346755234.8,3916.23123721,2897366.0
23,2013,ALB,COL,1562730.0,0,0,0,10083.01,10083.01,9975.874,9970.575,0,0,212907929816.0,4497.19693577,47342363.0,11346755234.8,3916.23123721,2897366.0
24,2013,ALB,DOM,80933.0,0,0,0,8638.148000000001,8638.148000000001,8653.2,8652.943,0,0,50033390849.2,4866.39484098,10281408.0,11346755234.8,3916.23123721,2897366.0
25,2013,ALB,ESP,75482970.0,0,0,0,1977.0610000000001,1977.0610000000001,1931.682,1875.16,0,0,1172482153960.0,25149.743076400002,46620045.0,11346755234.8,3916.23123721,2897366.0
26,2013,ALB,FRA,125743820.0,0,0,0,1603.5339999999999,1603.5339999999999,1499.451,1461.321,0,0,2357143265760.0,35754.652407199996,65925498.0,11346755234.8,3916.23123721,2897366.0
27,2013,ALB,GBR,37466334.0,0,0,0,1895.345,1895.345,2040.187,2027.777,0,0,2577048727270.0,40199.3169439,64106779.0,11346755234.8,3916.23123721,2897366.0
28,2013,ALB,KOR,22915662.0,0,0,0,8562.792,8562.792,8665.202,8663.25,0,0,1199003686670.0,23875.1809908,50219669.0,11346755234.8,3916.23123721,2897366.0
29,2013,ALB,MEX,3456214.0,0,0,0,10807.12,10807.12,10737.21,10732.37,0,0,1045697869840.0,8450.75924284,123740109.0,11346755234.8,3916.23123721,2897366.0
30,2013,ALB,NLD,30911853.0,0,0,0,1664.815,1664.815,1652.268,1649.828,0,0,720805621191.0,42893.7807116,16804432.0,11346755234.8,3916.23123721,2897366.0
31,2013,ALB,PAN,117078.0,0,0,0,10127.47,10127.47,10191.83,10190.64,0,0,29908913759.9,7859.01341755,3805683.0,11346755234.8,3916.23123721,2897366.0
32,2013,ALB,POL,73214051.0,0,0,0,1218.313,1218.313,1191.41,1170.347,0,0,415521978597.0,10923.2344281,38040196.0,11346755234.8,3916.23123721,2897366.0
33,2013,ALB,USA,94166952.0,0,0,0,7439.630999999999,7770.42,8882.747,8710.583,0,0,14451509500000.0,45660.7337641,316497531.0,11346755234.8,3916.23123721,2897366.0
34,2013,ALB,VEN,1695995.0,0,0,0,8971.885,8971.885,9085.091,9079.925,0,0,194650892086.0,6429.204742100001,30276045.0,11346755234.8,3916.23123721,2897366.0
35,2013,ALB,DEU,280347443.0,0,0,0,1493.096,1336.744,1383.712,1361.827,0,0,3162014177340.0,39208.7600724,80645605.0,11346755234.8,3916.23123721,2897366.0
36,2013,ALB,IND,23202014.0,0,0,0,5322.44,5322.44,5735.209,5701.819,0,0,1489775906250.0,1164.34327261,1279498874.0,11346755234.8,3916.23123721,2897366.0
37,2013,ALB,IRN,991420.0,0,0,0,2808.6040000000003,2808.6040000000003,2871.7,2830.331,0,0,228104456699.0,2956.54216401,77152445.0,11346755234.8,3916.23123721,2897366.0
